phase,algo,servers,load_frac,load_pct,qrif,qrif_label,qrif_runtime,probe_rate,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,35,2026-07-08T11:42:25,202.478,53300.0,93000.0,134700.0,163600.0,57848.411148588675,5640,5633,7,1128.0,1.4,"{""200"": 5633, ""503"": 7}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,36,2026-07-08T11:42:30,207.478,53300.0,93100.0,137400.0,166200.0,57865.973333333335,5636,5625,11,1127.2,2.2,"{""200"": 5625, ""503"": 11}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,37,2026-07-08T11:42:35,212.478,53600.0,95100.0,138300.0,165800.0,58412.62222222222,5642,5625,17,1128.4,3.4,"{""200"": 5625, ""503"": 17}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,38,2026-07-08T11:42:40,217.478,52600.0,91600.0,135200.0,162500.0,57140.166844160456,5638,5634,4,1127.6,0.8,"{""200"": 5634, ""503"": 4}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,39,2026-07-08T11:42:45,222.478,52600.0,92300.0,136000.0,163000.0,57229.42562058344,5524,5519,5,1104.8,1.0,"{""200"": 5519, ""503"": 5}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,40,2026-07-08T11:42:50,227.478,53300.0,94200.0,137900.0,166300.0,58171.190053285965,5640,5630,10,1128.0,2.0,"{""200"": 5630, ""503"": 10}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,41,2026-07-08T11:42:55,232.478,53100.0,92900.0,133100.0,162800.0,57631.392045454544,5640,5632,8,1128.0,1.6,"{""200"": 5632, ""503"": 8}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,42,2026-07-08T11:43:00,237.478,53000.0,94000.0,137100.0,161700.0,57908.59833007639,5640,5629,11,1128.0,2.2,"{""200"": 5629, ""503"": 11}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,43,2026-07-08T11:43:05,242.478,53400.0,94100.0,138700.0,164200.0,58329.316770186335,5638,5635,3,1127.6,0.6,"{""200"": 5635, ""503"": 3}"
1,prequal,20,0.75,75,0.0,0,0.0,3.0,1125,120,5,44,2026-07-08T11:43:10,247.478,53100.0,95200.0,142100.0,166500.0,58158.88198757764,5642,5635,7,1128.4,1.4,"{""200"": 5635, ""503"": 7}"
