phase,algo,servers,load_frac,load_pct,probe_rate,probe_label,effective_async_probes,target_qps,workers,bin_seconds,bin_index,timestamp,elapsed_s,p50_us,p90_us,p99_us,p99_9_us,avg_us,total_responses,ok_responses,error_responses,response_qps,error_qps,status_dist
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,6,2026-07-06T07:26:35.489,327.734,12500.0,48000.0,58100.0,87200.0,19330.61279100883,3737,3737,0,747.4,0.0,"{""200"": 3737}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,7,2026-07-06T07:26:40.489,332.734,12300.0,48100.0,56200.0,85500.0,19149.412079102083,3742,3742,0,748.4,0.0,"{""200"": 3742}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,8,2026-07-06T07:26:45.489,337.734,12200.0,48000.0,58300.0,91500.0,19479.196787148594,3735,3735,0,747.0,0.0,"{""200"": 3735}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,9,2026-07-06T07:26:50.489,342.734,12200.0,47600.0,58100.0,87100.0,19498.956940358385,3739,3739,0,747.8,0.0,"{""200"": 3739}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,10,2026-07-06T07:26:55.489,347.734,12200.0,47600.0,58300.0,89700.0,19161.146838156485,3732,3732,0,746.4,0.0,"{""200"": 3732}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,11,2026-07-06T07:27:00.489,352.734,12300.0,47600.0,55900.0,84300.0,19427.32869379015,3736,3736,0,747.2,0.0,"{""200"": 3736}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,12,2026-07-06T07:27:05.489,357.734,12400.0,47800.0,55600.0,84100.0,19272.907194437015,3739,3739,0,747.8,0.0,"{""200"": 3739}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,13,2026-07-06T07:27:10.489,362.734,12200.0,47900.0,57900.0,88800.0,19338.41218925421,3741,3741,0,748.2,0.0,"{""200"": 3741}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,14,2026-07-06T07:27:15.489,367.734,12400.0,48000.0,58400.0,92800.0,19550.62985794693,3731,3731,0,746.2,0.0,"{""200"": 3731}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,15,2026-07-06T07:27:20.489,372.734,12300.0,48000.0,57100.0,89800.0,19434.991974317818,3738,3738,0,747.6,0.0,"{""200"": 3738}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,16,2026-07-06T07:27:25.489,377.734,12300.0,47800.0,57300.0,88100.0,19531.387252276378,3734,3734,0,746.8,0.0,"{""200"": 3734}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,17,2026-07-06T07:27:30.489,382.734,12200.0,47700.0,60600.0,90100.0,19449.705409748258,3734,3734,0,746.8,0.0,"{""200"": 3734}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,18,2026-07-06T07:27:35.489,387.734,12300.0,48100.0,62100.0,90000.0,19752.98687382802,3733,3733,0,746.6,0.0,"{""200"": 3733}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,19,2026-07-06T07:27:40.489,392.734,12300.0,47800.0,60300.0,91200.0,19370.278969957082,3728,3728,0,745.6,0.0,"{""200"": 3728}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,20,2026-07-06T07:27:45.489,397.734,12300.0,47900.0,59300.0,89100.0,19374.09590141977,3733,3733,0,746.6,0.0,"{""200"": 3733}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,21,2026-07-06T07:27:50.489,402.734,12300.0,47700.0,56300.0,84000.0,19420.71180090982,3737,3737,0,747.4,0.0,"{""200"": 3737}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,22,2026-07-06T07:27:55.489,407.734,12200.0,47500.0,59100.0,87000.0,19254.633101231924,3734,3734,0,746.8,0.0,"{""200"": 3734}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,23,2026-07-06T07:28:00.489,412.734,12300.0,47800.0,58900.0,89500.0,19487.657295850066,3735,3735,0,747.0,0.0,"{""200"": 3735}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,24,2026-07-06T07:28:05.489,417.734,12300.0,47400.0,56900.0,90700.0,19408.302088912693,3734,3734,0,746.8,0.0,"{""200"": 3734}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,25,2026-07-06T07:28:10.489,422.734,12300.0,48300.0,61100.0,94200.0,19493.962972900455,3727,3727,0,745.4,0.0,"{""200"": 3727}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,26,2026-07-06T07:28:15.489,427.734,12300.0,48100.0,61900.0,89700.0,19673.76038595551,3731,3731,0,746.2,0.0,"{""200"": 3731}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,27,2026-07-06T07:28:20.489,432.734,12200.0,47800.0,58700.0,93200.0,19382.882400214305,3733,3733,0,746.6,0.0,"{""200"": 3733}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,28,2026-07-06T07:28:25.489,437.734,12100.0,47800.0,57300.0,89800.0,19382.81584582441,3736,3736,0,747.2,0.0,"{""200"": 3736}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,29,2026-07-06T07:28:30.489,442.734,12000.0,47700.0,57300.0,86000.0,19541.86295503212,3736,3736,0,747.2,0.0,"{""200"": 3736}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,30,2026-07-06T07:28:35.489,447.734,12300.0,47700.0,57100.0,93800.0,19213.62784471218,3735,3735,0,747.0,0.0,"{""200"": 3735}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,31,2026-07-06T07:28:40.489,452.734,12300.0,48300.0,59000.0,89700.0,19559.973190348526,3730,3730,0,746.0,0.0,"{""200"": 3730}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,32,2026-07-06T07:28:45.489,457.734,12200.0,47900.0,59400.0,86600.0,19442.386058981232,3730,3730,0,746.0,0.0,"{""200"": 3730}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,33,2026-07-06T07:28:50.489,462.734,12400.0,48200.0,59800.0,87900.0,19480.734190782423,3732,3732,0,746.4,0.0,"{""200"": 3732}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,34,2026-07-06T07:28:55.489,467.734,12200.0,47900.0,60800.0,89400.0,19566.881201394477,3729,3729,0,745.8,0.0,"{""200"": 3729}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,35,2026-07-06T07:29:00.489,472.734,12200.0,48200.0,60200.0,87900.0,19637.18189124029,3733,3733,0,746.6,0.0,"{""200"": 3733}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,36,2026-07-06T07:29:05.489,477.734,12100.0,47900.0,56100.0,91600.0,19151.70013386881,3735,3735,0,747.0,0.0,"{""200"": 3735}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,37,2026-07-06T07:29:10.489,482.734,12200.0,47800.0,56200.0,89400.0,19239.65747926144,3737,3737,0,747.4,0.0,"{""200"": 3737}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,38,2026-07-06T07:29:15.489,487.734,12400.0,47600.0,55900.0,86700.0,19045.401069518717,3740,3740,0,748.0,0.0,"{""200"": 3740}"
2,prequal,20,1.5,150,2.8284271247461903,2sqrt2,2,750,30,5,39,2026-07-06T07:29:20.489,492.734,12300.0,47800.0,58500.0,88500.0,19523.594001071237,3734,3734,0,746.8,0.0,"{""200"": 3734}"
